,1099 HK Equity,,1066 HK Equity,,874 HK Equity,,460 HK Equity,,867 HK Equity,,1666 HK Equity,,2877 HK Equity,,853 HK Equity,,325 HK Equity,,8058 HK Equity,,8231 HK Equity,,963 HK Equity
8/22/2012,3.0104,3/31/2011,1.43,3/31/2011,1.22161,,,,,3/31/2011,1.1230,3/31/2011,2.40208,,,5/31/2013,0.96101,3/31/2011,1.2216,3/31/2011,0.21217,8/31/2011,0.28253
8/23/2012,3.1975,4/1/2011,1.39,4/1/2011,1.26883,,,,,4/1/2011,1.1591,4/1/2011,2.60966,,,6/3/2013,0.96104,4/1/2011,1.2856,4/1/2011,0.21211,9/1/2011,0.28265
8/24/2012,3.2359,4/4/2011,1.42,4/4/2011,1.2481,,,,,4/4/2011,1.1859,4/4/2011,2.57341,,,6/4/2013,0.96123,4/4/2011,1.2558,4/4/2011,0.22003,9/2/2011,0.28246
8/27/2012,3.2234,4/6/2011,1.37,4/6/2011,1.2222,,,,,4/6/2011,1.1815,4/6/2011,2.56532,,,6/5/2013,0.9612,4/6/2011,1.2492,4/6/2011,0.21871,9/5/2011,0.3209
8/28/2012,3.1716,4/7/2011,1.4,4/7/2011,1.25729,,,,,4/7/2011,1.1882,4/7/2011,2.58664,,,6/6/2013,0.96112,4/7/2011,1.2418,4/7/2011,0.22134,9/6/2011,0.32083
8/29/2012,3.1783,4/8/2011,1.38,4/8/2011,1.33134,,,,,4/8/2011,1.2103,4/8/2011,2.54165,,,6/7/2013,0.96102,4/8/2011,1.2296,4/8/2011,0.24979,9/7/2011,0.32076
8/30/2012,3.1717,4/11/2011,1.37,4/11/2011,1.29745,,,,,4/11/2011,1.2370,4/11/2011,2.52281,,,6/10/2013,0.96083,4/11/2011,1.2279,4/11/2011,0.26387,9/8/2011,0.32083
8/31/2012,3.178,4/12/2011,1.36,4/12/2011,1.30699,,,,,4/12/2011,1.2169,4/12/2011,2.46733,,,6/11/2013,0.96077,4/12/2011,1.2221,4/12/2011,0.26371,9/9/2011,0.32077
9/3/2012,3.1068,4/13/2011,1.37,4/13/2011,1.30151,,,,,4/13/2011,1.1793,4/13/2011,2.46155,,,6/13/2013,0.96087,4/13/2011,1.2192,4/13/2011,0.25721,9/12/2011,0.31534
9/4/2012,3.1136,4/14/2011,1.37,4/14/2011,1.25664,,,,,4/14/2011,1.2206,4/14/2011,2.44382,,,6/14/2013,0.96125,4/14/2011,1.2013,4/14/2011,0.24953,9/14/2011,0.33188
