Date,1171 HK equity,386 HK equity,857 HK equity,883 HK equity,005490 KS equity,2600 HK equity,5406 jp equity,6502 JP equity,1138 HK equity,6305 jp equity,6752 jp equity,105560 KS equity,2628 HK equity,8306 JP equity,8316 JP equity,8591 JP equity,8604 JP equity,055550 KS equity,2601 HK equity,1336 HK equity,8411 jp equity,8630 jp equity,8766 jp equity,2409 TT equity,FENG equity,IBM equity,762 HK equity,9984 jp equity,015760 KS equity,902 HK equity,8801 jp equity,esm7 index,nhm7 index
8/12/2016,1.4364,1.0811,1.3244,3.2149,2.1869,-0.0039,-0.9352,3.974,0.6497,1.4832,0.1779,-0.2239,2.3037,-1.1488,-0.4705,-0.0974,0.7,0.2544,1.222,3.7439,0.0575,1.1933,1.0896,-0.4616,-2.4194,-0.9662,2.3216,0.0048,-2.6582,4.3801,0.2446,-0.07,0.15
8/16/2016,-0.1796,1.6375,0.9637,0.2318,2.2808,1.451,-0.2366,0.5504,-1.2259,0.5185,0.9072,0.4192,0.3384,-0.8906,-0.0933,-0.3912,-0.9563,-0.5401,-1.1678,-1.8111,-0.4458,-1.6316,-1.1394,2.6428,-3.0303,-0.7289,0.5063,0.8674,0.176,0.8147,-2.9905,-0.42,-0.99
8/17/2016,-2.2812,0.3482,-0.1894,-0.3103,-2.418,0.6979,1.1464,1.6992,-1.4837,3.5606,3.071,-2.2841,-1.9686,3.9475,3.2846,2.9113,2.7503,-0.9136,-1.0401,0.9321,3.0759,3.8504,3.9429,-2.0225,0,-0.1618,0.1153,-0.5046,-2.5955,-1.1757,2.0255,0.14,0.63
8/18/2016,-2.3078,-1.2051,-0.7205,0.0232,-0.7966,-0.6738,0.2899,-0.186,0.0232,-0.4916,-0.3937,0.0185,0.4453,-1.4318,-1.3145,-1.6518,-1.6889,-0.0584,-0.8496,-0.1314,-0.8436,-1.1507,-0.975,-0.042,-0.142,0.5734,7.7631,-4.3341,0.2118,-2.5466,-3.0121,0.17,-0.48
8/19/2016,-4.7759,-0.1815,-0.3784,0.406,-1.5366,-0.3547,4.3171,2.3805,-0.433,-0.4833,0.6623,-0.6333,-1.3694,0.8728,1.4829,-0.4463,1.1111,-2.3444,-1.0602,0.6153,0.9716,2.3068,4.2285,2.9819,0.7112,-0.818,3.4214,0.2324,-1.9992,-0.8152,-1.5292,-0.08,-0.6
8/22/2016,0.0039,-0.352,-0.1841,-0.6084,-0.6249,0.356,-2.2773,1.0313,-1.9359,0.1851,0.9386,-0.892,-1.1676,-0.8051,-0.2167,0.5295,-0.1732,-0.1274,-0.53,-0.9192,-0.4266,-0.3109,-0.1545,-0.5158,1.1299,-0.025,-1.2782,0.0708,-0.6249,-1.8367,0.5361,-0.01,0.3
8/23/2016,2.0554,-0.1734,-0.5598,-1.1243,0.0194,-0.6966,-0.9903,-0.8434,-1.7532,-4.1881,-0.9978,1.022,-0.7492,-0.7993,-1.2887,-1.5138,-1.7713,0.6054,-0.5315,-0.7713,-0.3084,-2.9551,-1.8404,-0.7999,0.5587,0.1625,-1.7265,-0.7998,0.8304,-0.2032,2.0746,0.17,0.11
8/24/2016,-1.1326,-0.0168,-0.2061,-0.2244,2.9404,0.6898,-2.4558,1.7451,-2.0299,0.2523,0.1493,-1.4796,-0.7767,-0.0294,0.2617,-1.2187,1.5826,-1.1447,-0.1966,-0.7991,0.7175,1.0089,1.4636,-1.4882,-1.9444,-0.755,-0.0168,2.2106,-0.969,-0.2255,0.0387,-0.47,-0.24
8/25/2016,-1.5928,-0.3706,-0.9615,-0.9493,0.6596,0.3379,2.1913,-0.4043,0.2154,0.5188,-1.3383,3.8423,0.9717,-0.2319,0.1258,-0.2212,0.3793,2.3256,-0.0129,0.9334,0.2762,-0.1104,0.2708,4.7388,1.1331,-0.2641,-0.3432,1.5421,3.0692,-0.6404,-0.6342,-0.05,-0.26
8/26/2016,-0.9315,0.8834,0.752,1.0361,-1.1141,-0.0142,-0.7306,-2.2519,1.5801,-1.5364,-0.9742,-2.1893,3.344,-1.7535,-1.9526,-2.8083,-2.1352,-1.5769,0.7064,-0.6391,-1.4351,-3.4907,-3.3815,-0.9411,0,-0.1954,0.7592,-1.59,0.4547,0.8278,-2.6699,-0.23,-0.24
