,p.zoo,c.zoo,m.zoo,s.zoo
4/17/2012,-0.107757942,0.936162818,-0.090174291,-0.742644901
4/18/2012,2.061979314,0.865650239,1.595747272,-0.264867014
4/19/2012,0.073124107,0.72462508,-0.672583559,0.320541076
4/20/2012,0.191502412,-0.227294738,-0.258766448,0.698421021
4/23/2012,-0.518318825,-0.773767227,-0.197460209,-0.090518251
4/24/2012,-0.343966273,0.266293316,-0.641930439,-0.210813142
4/25/2012,0.49395275,0.001871144,0.706806811,-1.328039908
4/26/2012,-0.579875543,-0.791395372,-0.036531333,0.410554546
4/27/2012,0.254056,-1.602290032,-0.373715645,-2.062676724
5/2/2012,0.32702688,0.072383723,0.193367063,-0.772285237
