"","ann.ret.36","ann.std.36","downrisk.36","drawdown.36","sharpe.36","sortino.36","info_ratio.36","omega.36","wl.36","skewness.36","kurtosis.36"
"HINOKIN.KY.Equity",0.0540384707301453,0.1026161907563,0.017779343674613,-0.104494811477705,-0.00610266847137439,0.271057374806448,0.593142167662312,1.52926174496644,0.583333333333333,0.139228798335938,0.14482857683027
"HLUSPFEQ.CN.Equity",0.108056530223427,0.12210168189349,0.0199821721521127,-0.112740210996918,0.118743694887976,0.459681979242346,0.450681881799716,1.95248739093991,0.666666666666667,0.0831050612880309,-0.0975357177016849
"HMICAPA.US.Equity",0.129339446594997,0.141168624432998,0.0233751714265847,-0.185488012692467,0.146955758802182,0.47010231590108,0.544562996841577,2.00710790678255,0.666666666666667,-0.0327836463906001,0.49226396313382
"IMUAX.US.Equity",0.00190797180965241,0.0363132669876216,0.00743196291926523,-0.0836111786356806,-0.456719133488999,0.0285702896583243,-0.526249699930487,1.05627125631248,0.472222222222222,-0.167483983135983,-0.188938447903904
"INFCCGR.KY.Equity",0.0467687423991581,0.15904279567112,0.0238362179134331,-0.23896409774915,-0.00445238718404686,0.201188936548141,0.614960503256475,1.36072763591459,0.527777777777778,1.52489326495386,4.26204630210788
"IQHIX.US.Equity",-0.000912937836439198,0.0447103790426041,0.00919694267285481,-0.0795581942969763,-0.387014667249949,0.000531577619084068,-0.76920106310496,1.00095906012108,0.527777777777778,-0.0122383547343923,-0.641417695599272
"IRONBAY.US.Equity",0.207537414969614,0.139416018578006,0.0197007891931601,-0.10825464,0.288561212998335,0.843286860428651,1.81126963446908,3.01985464468325,0.666666666666667,0.10918693963962,0.446758194822732
"JAAAX.US.Equity",0.011681898582568,0.0334998638375342,0.0067874872559733,-0.0695924106517251,-0.412192426516435,0.149372083198958,-0.211684142335428,1.30966258579585,0.611111111111111,-0.427047753780097,-0.0872037669145822
"JANLYNP.US.Equity",-0.0174203635489458,0.152150317620782,0.024662181689673,-0.238420049729792,-0.126868172060947,-0.0232057959330987,-0.400123671484076,0.960477879467411,0.5,2.01833248773139,7.18475489769405
"JORCAPP.US.Equity",0.0298993636678493,0.0694555182634729,0.0143002803167941,-0.169962266514266,-0.116914184993963,0.185720912616803,0.220626552437223,1.45080177848188,0.666666666666667,-1.03486998699267,2.57251716025684
"JSIEQUI.BM.Equity",0.0406272797699574,0.12918262331042,0.024419840880135,-0.1506298549164,-0.0267268982957736,0.163936594640638,-0.273183924457529,1.33692501192291,0.5,-0.257455109909815,0.918706325693865
