,XLE Equity,,XLB Equity,,XLI Equity,,XLF Equity,,XLU Equity,,XLK Equity,,XLV Equity,,XLP Equity,,XLY Equity,,,,,,,
3/11/2011,75.11,3/11/2011,37.91,3/11/2011,36.67,3/11/2011,16.54,3/11/2011,32.52,3/11/2011,25.8,3/11/2011,32.7,3/11/2011,29.73,3/11/2011,39.01,,,,,,,
3/14/2011,75.52,3/14/2011,37.77,3/14/2011,36.36,3/14/2011,16.39,3/14/2011,32.09,3/14/2011,25.68,3/14/2011,32.54,3/14/2011,29.52,3/14/2011,38.53,,,,,,,
3/15/2011,74.95,3/15/2011,37.77,3/15/2011,36.02,3/15/2011,16.2,3/15/2011,31.48,3/15/2011,25.3,3/15/2011,32.16,3/15/2011,29.26,3/15/2011,38.21,,,,,,,
3/16/2011,73.75,3/16/2011,37.01,3/16/2011,35.35,3/16/2011,15.8995,3/16/2011,30.985,3/16/2011,24.6825,3/16/2011,31.6,3/16/2011,28.8425,3/16/2011,37.56,,,,,,,
3/17/2011,76,3/17/2011,37.67,3/17/2011,35.9,3/17/2011,16.09,3/17/2011,31.03,3/17/2011,24.94,3/17/2011,31.97,3/17/2011,28.98,3/17/2011,37.73,,,,,,,
3/18/2011,75.39,3/18/2011,37.73,3/18/2011,35.97,3/18/2011,16.27,3/18/2011,30.88,3/18/2011,24.9,3/18/2011,31.97,3/18/2011,29.05,3/18/2011,37.58,,,,,,,
3/21/2011,77.68,3/21/2011,38.385,3/21/2011,36.76,3/21/2011,16.345,3/21/2011,31.24,3/21/2011,25.3225,3/21/2011,32.2375,3/21/2011,29.41,3/21/2011,38.16,,,,,,,
3/22/2011,77.51,3/22/2011,38.295,3/22/2011,36.465,3/22/2011,16.259,3/22/2011,31.285,3/22/2011,25.28,3/22/2011,32.22,3/22/2011,29.37,3/22/2011,37.86,,,,,,,
3/23/2011,77.71,3/23/2011,38.85,3/23/2011,36.59,3/23/2011,16.215,3/23/2011,31.27,3/23/2011,25.42,3/23/2011,32.2,3/23/2011,29.42,3/23/2011,38.19,,,,,,,
3/24/2011,77.99,3/24/2011,39.02,3/24/2011,36.97,3/24/2011,16.295,3/24/2011,31.4,3/24/2011,25.8175,3/24/2011,32.58,3/24/2011,29.69,3/24/2011,38.75,,,,,,,
3/25/2011,78.69,3/25/2011,39.23,3/25/2011,37.1,3/25/2011,16.34,3/25/2011,31.39,3/25/2011,25.88,3/25/2011,32.67,3/25/2011,29.69,3/25/2011,38.82,,,,,,,
