,XLE Equity,,XLB Equity,,XLI Equity,,XLF Equity,,XLU Equity,,XLK Equity,,XLV Equity,,XLP Equity,,XLY Equity,,,,,,,
3/30/2012,71.75,3/30/2012,36.97,3/30/2012,37.415,3/30/2012,15.795,3/30/2012,35.045,3/30/2012,30.16,3/30/2012,37.61,3/30/2012,34.08,3/30/2012,45.09,,,,,,,
4/2/2012,72.45,4/2/2012,37.49,4/2/2012,37.66,4/2/2012,15.92,4/2/2012,35.22,4/2/2012,30.48,4/2/2012,37.74,4/2/2012,34.35,4/2/2012,45.21,,,,,,,
4/3/2012,71.82,4/3/2012,37.21,4/3/2012,37.39,4/3/2012,15.83,4/3/2012,35.2,4/3/2012,30.46,4/3/2012,37.72,4/3/2012,34.16,4/3/2012,45.12,,,,,,,
4/4/2012,70.9,4/4/2012,36.69,4/4/2012,37.12,4/4/2012,15.5799,4/4/2012,35.15,4/4/2012,30.1,4/4/2012,37.515,4/4/2012,34.05,4/4/2012,44.7,,,,,,,
4/5/2012,70.5,4/5/2012,36.48,4/5/2012,36.97,4/5/2012,15.535,4/5/2012,34.89,4/5/2012,30.17,4/5/2012,37.51,4/5/2012,34.05,4/5/2012,45.01,,,,,,,
4/9/2012,69.61,4/9/2012,35.95,4/9/2012,36.37,4/9/2012,15.3,4/9/2012,34.7129,4/9/2012,29.96,4/9/2012,37.04,4/9/2012,33.74,4/9/2012,44.6,,,,,,,
4/10/2012,68.243,4/10/2012,35.21,4/10/2012,35.63,4/10/2012,14.97,4/10/2012,34.26,4/10/2012,29.535,4/10/2012,36.62,4/10/2012,33.44,4/10/2012,43.51,,,,,,,
4/11/2012,68.26,4/11/2012,35.59,4/11/2012,36.03,4/11/2012,15.205,4/11/2012,34.34,4/11/2012,29.71,4/11/2012,36.75,4/11/2012,33.605,4/11/2012,44.11,,,,,,,
4/12/2012,69.75,4/12/2012,36.565,4/12/2012,36.8,4/12/2012,15.49,4/12/2012,34.445,4/12/2012,30.075,4/12/2012,36.95,4/12/2012,33.635,4/12/2012,44.67,,,,,,,
4/13/2012,68.7,4/13/2012,36.13,4/13/2012,36.33,4/13/2012,15.13,4/13/2012,34.33,4/13/2012,29.61,4/13/2012,36.58,4/13/2012,33.63,4/13/2012,44.55,,,,,,,
4/16/2012,68.24,4/16/2012,36.24,4/16/2012,36.43,4/16/2012,15.24,4/16/2012,34.655,4/16/2012,29.3,4/16/2012,36.59,4/16/2012,33.77,4/16/2012,44.39,,,,,,,
4/17/2012,69.35,4/17/2012,36.73,4/17/2012,37.03,4/17/2012,15.44,4/17/2012,34.83,4/17/2012,29.94,4/17/2012,37.13,4/17/2012,34.11,4/17/2012,44.93,,,,,,,
4/18/2012,69.21,4/18/2012,36.63,4/18/2012,36.87,4/18/2012,15.34,4/18/2012,34.78,4/18/2012,29.69,4/18/2012,37.01,4/18/2012,34.12,4/18/2012,44.93,,,,,,,
4/19/2012,69.12,4/19/2012,36.5,4/19/2012,36.46,4/19/2012,15.265,4/19/2012,34.68,4/19/2012,29.39,4/19/2012,37.09,4/19/2012,34,4/19/2012,44.57,,,,,,,
4/20/2012,68.96,4/20/2012,36.48,4/20/2012,36.77,4/20/2012,15.185,4/20/2012,35.02,4/20/2012,29.28,4/20/2012,37.29,4/20/2012,34.31,4/20/2012,44.64,,,,,,,
4/23/2012,68.89,4/23/2012,36.03,4/23/2012,36.36,4/23/2012,15.08,4/23/2012,34.87,4/23/2012,29.05,4/23/2012,37,4/23/2012,33.78,4/23/2012,44.16,,,,,,,
4/24/2012,69.4,4/24/2012,36.03,4/24/2012,36.84,4/24/2012,15.25,4/24/2012,35.11,4/24/2012,28.99,4/24/2012,37.13,4/24/2012,33.79,4/24/2012,44.01,,,,,,,
4/25/2012,70.09,4/25/2012,36.79,4/25/2012,36.91,4/25/2012,15.38,4/25/2012,35.29,4/25/2012,29.805,4/25/2012,37.52,4/25/2012,34.01,4/25/2012,44.75,,,,,,,
4/26/2012,70.83,4/26/2012,36.75,4/26/2012,37.13,4/26/2012,15.51,4/26/2012,35.49,4/26/2012,30.04,4/26/2012,37.51,4/26/2012,34.32,4/26/2012,45.31,,,,,,,
4/27/2012,70.8,4/27/2012,36.93,4/27/2012,37.36,4/27/2012,15.52,4/27/2012,35.61,4/27/2012,30.03,4/27/2012,37.53,4/27/2012,34.27,4/27/2012,45.87,,,,,,,
4/30/2012,71.24,4/30/2012,36.67,4/30/2012,37.01,4/30/2012,15.43,4/30/2012,35.66,4/30/2012,29.82,4/30/2012,37.51,4/30/2012,34.18,4/30/2012,45.61,,,,,,,
5/1/2012,72.26,5/1/2012,36.89,5/1/2012,37.12,5/1/2012,15.59,5/1/2012,35.84,5/1/2012,29.92,5/1/2012,37.65,5/1/2012,34.27,5/1/2012,45.91,,,,,,,
5/2/2012,71.08,5/2/2012,36.71,5/2/2012,37.13,5/2/2012,15.465,5/2/2012,35.63,5/2/2012,29.94,5/2/2012,37.58,5/2/2012,34.3,5/2/2012,46.16,,,,,,,
5/3/2012,69.9001,5/3/2012,36.29,5/3/2012,36.83,5/3/2012,15.34,5/3/2012,35.52,5/3/2012,29.69,5/3/2012,37.44,5/3/2012,34.35,5/3/2012,45.8,,,,,,,
5/4/2012,68.3,5/4/2012,35.68,5/4/2012,36.3,5/4/2012,15.1,5/4/2012,35.57,5/4/2012,29.07,5/4/2012,36.95,5/4/2012,34.08,5/4/2012,44.91,,,,,,,
5/7/2012,68.1,5/7/2012,35.71,5/7/2012,36.2,5/7/2012,15.185,5/7/2012,35.5,5/7/2012,28.99,5/7/2012,37.03,5/7/2012,34.13,5/7/2012,44.89,,,,,,,
5/8/2012,67.88,5/8/2012,35.5399,5/8/2012,36.11,5/8/2012,15.085,5/8/2012,35.56,5/8/2012,28.885,5/8/2012,37.04,5/8/2012,34.05,5/8/2012,44.35,,,,,,,
5/9/2012,67.55,5/9/2012,35.22,5/9/2012,35.69,5/9/2012,14.92,5/9/2012,35.58,5/9/2012,28.89,5/9/2012,36.79,5/9/2012,33.88,5/9/2012,44.18,,,,,,,
5/10/2012,67.84,5/10/2012,35.11,5/10/2012,35.74,5/10/2012,14.98,5/10/2012,35.91,5/10/2012,28.67,5/10/2012,37.05,5/10/2012,34.12,5/10/2012,44.33,,,,,,,
5/11/2012,67.34,5/11/2012,35.01,5/11/2012,35.67,5/11/2012,14.81,5/11/2012,35.93,5/11/2012,28.69,5/11/2012,37.01,5/11/2012,34.03,5/11/2012,44.24,,,,,,,
5/14/2012,66.22,5/14/2012,34.525,5/14/2012,35.255,5/14/2012,14.505,5/14/2012,35.89,5/14/2012,28.44,5/14/2012,36.89,5/14/2012,33.89,5/14/2012,43.615,,,,,,,
5/15/2012,65.118,5/15/2012,34.01,5/15/2012,35.08,5/15/2012,14.43,5/15/2012,35.64,5/15/2012,28.36,5/15/2012,36.67,5/15/2012,33.85,5/15/2012,43.55,,,,,,,
5/16/2012,64.75,5/16/2012,33.64,5/16/2012,35.04,5/16/2012,14.22,5/16/2012,35.69,5/16/2012,28.13,5/16/2012,36.73,5/16/2012,33.96,5/16/2012,43.48,,,,,,,
5/17/2012,64.34,5/17/2012,32.9,5/17/2012,34.29,5/17/2012,13.93,5/17/2012,35.49,5/17/2012,27.73,5/17/2012,36.39,5/17/2012,33.72,5/17/2012,42.33,,,,,,,
5/18/2012,63.94,5/18/2012,32.77,5/18/2012,34.12,5/18/2012,13.771,5/18/2012,35.42,5/18/2012,27.47,5/18/2012,36.07,5/18/2012,33.52,5/18/2012,42.01,,,,,,,
5/21/2012,65.41,5/21/2012,33.73,5/21/2012,34.88,5/21/2012,13.9,5/21/2012,35.46,5/21/2012,28.15,5/21/2012,36.42,5/21/2012,33.65,5/21/2012,42.75,,,,,,,
5/22/2012,65.25,5/22/2012,33.52,5/22/2012,35.01,5/22/2012,14.01,5/22/2012,35.71,5/22/2012,28.06,5/22/2012,36.32,5/22/2012,33.69,5/22/2012,42.92,,,,,,,
5/23/2012,65.49,5/23/2012,33.92,5/23/2012,35.2,5/23/2012,14.06,5/23/2012,35.52,5/23/2012,28.09,5/23/2012,36.16,5/23/2012,33.6,5/23/2012,43.15,,,,,,,
5/24/2012,65.44,5/24/2012,34.13,5/24/2012,35.16,5/24/2012,14.07,5/24/2012,35.66,5/24/2012,27.93,5/24/2012,36.51,5/24/2012,33.92,5/24/2012,43.35,,,,,,,
5/25/2012,65.13,5/25/2012,33.99,5/25/2012,34.92,5/25/2012,14.02,5/25/2012,35.78,5/25/2012,27.87,5/25/2012,36.42,5/25/2012,33.89,5/25/2012,43.28,,,,,,,
5/29/2012,66.22,5/29/2012,34.58,5/29/2012,35.39,5/29/2012,14.22,5/29/2012,35.89,5/29/2012,28.24,5/29/2012,36.54,5/29/2012,34.13,5/29/2012,43.88,,,,,,,
5/30/2012,64.19,5/30/2012,33.96,5/30/2012,34.8,5/30/2012,13.8885,5/30/2012,35.67,5/30/2012,28.06,5/30/2012,36.33,5/30/2012,33.85,5/30/2012,43.19,,,,,,,
5/31/2012,63.63,5/31/2012,33.82,5/31/2012,34.67,5/31/2012,14.01,5/31/2012,35.86,5/31/2012,27.93,5/31/2012,36.15,5/31/2012,33.78,5/31/2012,43.1,,,,,,,
6/1/2012,62.04,6/1/2012,33.1,6/1/2012,33.71,6/1/2012,13.49,6/1/2012,35.71,6/1/2012,27.2,6/1/2012,35.51,6/1/2012,33.16,6/1/2012,41.74,,,,,,,
6/4/2012,61.99,6/4/2012,33.13,6/4/2012,33.36,6/4/2012,13.36,6/4/2012,35.83,6/4/2012,27.36,6/4/2012,35.59,6/4/2012,33.27,6/4/2012,41.89,,,,,,,
6/5/2012,62.52,6/5/2012,33.445,6/5/2012,33.455,6/5/2012,13.58,6/5/2012,35.96,6/5/2012,27.525,6/5/2012,35.79,6/5/2012,33.23,6/5/2012,42.115,,,,,,,
6/6/2012,64.45,6/6/2012,34.29,6/6/2012,34.345,6/6/2012,13.975,6/6/2012,36.46,6/6/2012,28.155,6/6/2012,36.35,6/6/2012,33.68,6/6/2012,43.03,,,,,,,
6/7/2012,64.49,6/7/2012,34.35,6/7/2012,34.54,6/7/2012,13.97,6/7/2012,36.74,6/7/2012,28.02,6/7/2012,36.37,6/7/2012,33.8,6/7/2012,43.03,,,,,,,
6/8/2012,64.5,6/8/2012,34.58,6/8/2012,34.8,6/8/2012,14.137,6/8/2012,36.82,6/8/2012,28.33,6/8/2012,36.59,6/8/2012,34.09,6/8/2012,43.41,,,,,,,
6/11/2012,63.62,6/11/2012,33.94,6/11/2012,34.345,6/11/2012,13.88,6/11/2012,36.79,6/11/2012,27.93,6/11/2012,36.27,6/11/2012,33.93,6/11/2012,42.75,,,,,,,
6/12/2012,64.52,6/12/2012,34.57,6/12/2012,34.9,6/12/2012,14.085,6/12/2012,36.8301,6/12/2012,28.21,6/12/2012,36.61,6/12/2012,34.09,6/12/2012,43.21,,,,,,,
6/13/2012,63.7,6/13/2012,34.04,6/13/2012,34.55,6/13/2012,14.04,6/13/2012,36.84,6/13/2012,28.04,6/13/2012,36.57,6/13/2012,34.045,6/13/2012,42.58,,,,,,,
6/14/2012,64.7,6/14/2012,34.32,6/14/2012,34.82,6/14/2012,14.205,6/14/2012,37.09,6/14/2012,28.18,6/14/2012,37.12,6/14/2012,34.51,6/14/2012,43.15,,,,,,,
6/15/2012,65.62,6/15/2012,34.53,6/15/2012,34.955,6/15/2012,14.34,6/15/2012,36.93,6/15/2012,28.37,6/15/2012,37.06,6/15/2012,34.33,6/15/2012,43.42,,,,,,,
6/18/2012,65.03,6/18/2012,34.71,6/18/2012,35.04,6/18/2012,14.26,6/18/2012,37.07,6/18/2012,28.58,6/18/2012,37.31,6/18/2012,34.42,6/18/2012,43.73,,,,,,,
6/19/2012,65.97,6/19/2012,35.37,6/19/2012,35.51,6/19/2012,14.5,6/19/2012,36.99,6/19/2012,28.8,6/19/2012,37.65,6/19/2012,34.39,6/19/2012,44.13,,,,,,,
6/20/2012,65.71,6/20/2012,35.17,6/20/2012,35.32,6/20/2012,14.53,6/20/2012,36.63,6/20/2012,28.85,6/20/2012,37.55,6/20/2012,34.21,6/20/2012,44.08,,,,,,,
6/21/2012,63.02,6/21/2012,34.02,6/21/2012,34.625,6/21/2012,14.205,6/21/2012,36.25,6/21/2012,28.165,6/21/2012,37.03,6/21/2012,33.805,6/21/2012,43.115,,,,,,,
6/22/2012,63.44,6/22/2012,34.2,6/22/2012,34.75,6/22/2012,14.335,6/22/2012,36.26,6/22/2012,28.48,6/22/2012,37.415,6/22/2012,33.91,6/22/2012,43.31,,,,,,,
6/25/2012,62.02,6/25/2012,33.77,6/25/2012,34.105,6/25/2012,14.04,6/25/2012,36.19,6/25/2012,27.9,6/25/2012,36.96,6/25/2012,33.7,6/25/2012,42.64,,,,,,,
6/26/2012,62.69,6/26/2012,33.875,6/26/2012,34.17,6/26/2012,14.11,6/26/2012,36.24,6/26/2012,28.01,6/26/2012,37.07,6/26/2012,33.78,6/26/2012,43.17,,,,,,,
6/27/2012,63.99,6/27/2012,34.25,6/27/2012,34.5,6/27/2012,14.28,6/27/2012,36.65,6/27/2012,28.18,6/27/2012,37.47,6/27/2012,33.98,6/27/2012,43.11,,,,,,,
6/28/2012,64.43,6/28/2012,34.26,6/28/2012,34.47,6/28/2012,14.27,6/28/2012,36.78,6/28/2012,27.95,6/28/2012,37.3,6/28/2012,34.13,6/28/2012,42.87,,,,,,,
6/29/2012,66.37,6/29/2012,35.29,6/29/2012,35.67,6/29/2012,14.635,6/29/2012,36.99,6/29/2012,28.725,6/29/2012,38.005,6/29/2012,34.77,6/29/2012,43.78,,,,,,,
7/2/2012,66.4,7/2/2012,35.11,7/2/2012,35.36,7/2/2012,14.725,7/2/2012,37.22,7/2/2012,28.89,7/2/2012,38.125,7/2/2012,34.965,7/2/2012,43.91,,,,,,,
7/3/2012,67.99,7/3/2012,35.61,7/3/2012,35.73,7/3/2012,14.81,7/3/2012,37.13,7/3/2012,29.12,7/3/2012,38.12,7/3/2012,35.13,7/3/2012,43.87,,,,,,,
7/5/2012,67.1,7/5/2012,35.56,7/5/2012,35.69,7/5/2012,14.59,7/5/2012,36.91,7/5/2012,29.12,7/5/2012,37.88,7/5/2012,35,7/5/2012,43.98,,,,,,,
7/6/2012,66.29,7/6/2012,35.15,7/6/2012,35.21,7/6/2012,14.47,7/6/2012,36.83,7/6/2012,28.69,7/6/2012,37.63,7/6/2012,34.96,7/6/2012,43.77,,,,,,,
7/9/2012,65.99,7/9/2012,34.93,7/9/2012,35.19,7/9/2012,14.45,7/9/2012,36.71,7/9/2012,28.63,7/9/2012,37.83,7/9/2012,34.92,7/9/2012,43.53,,,,,,,
7/10/2012,64.96,7/10/2012,34.41,7/10/2012,34.62,7/10/2012,14.34,7/10/2012,36.77,7/10/2012,28.31,7/10/2012,37.65,7/10/2012,34.96,7/10/2012,43.27,,,,,,,
7/11/2012,65.84,7/11/2012,34.3,7/11/2012,34.34,7/11/2012,14.46,7/11/2012,36.96,7/11/2012,28.18,7/11/2012,37.62,7/11/2012,34.91,7/11/2012,43.02,,,,,,,
7/12/2012,65.62,7/12/2012,34.13,7/12/2012,34.21,7/12/2012,14.31,7/12/2012,37.01,7/12/2012,27.9,7/12/2012,37.71,7/12/2012,34.94,7/12/2012,42.92,,,,,,,
7/13/2012,66.77,7/13/2012,34.74,7/13/2012,34.87,7/13/2012,14.705,7/13/2012,37.34,7/13/2012,28.27,7/13/2012,38.13,7/13/2012,35.33,7/13/2012,43.62,,,,,,,
7/16/2012,66.99,7/16/2012,34.61,7/16/2012,34.63,7/16/2012,14.68,7/16/2012,37.32,7/16/2012,28.24,7/16/2012,38.2,7/16/2012,35.15,7/16/2012,43.34,,,,,,,
7/17/2012,67.83,7/17/2012,35.05,7/17/2012,34.78,7/17/2012,14.76,7/17/2012,37.4,7/17/2012,28.35,7/17/2012,38.69,7/17/2012,35.3,7/17/2012,43.77,,,,,,,
7/18/2012,68.42,7/18/2012,35.26,7/18/2012,35.43,7/18/2012,14.69,7/18/2012,37.52,7/18/2012,28.84,7/18/2012,38.75,7/18/2012,35.31,7/18/2012,44,,,,,,,
7/19/2012,68.63,7/19/2012,35.64,7/19/2012,35.595,7/19/2012,14.595,7/19/2012,37.59,7/19/2012,29.09,7/19/2012,38.75,7/19/2012,35.26,7/19/2012,44.29,,,,,,,
7/20/2012,68.79,7/20/2012,35.42,7/20/2012,35.16,7/20/2012,14.375,7/20/2012,37.67,7/20/2012,28.755,7/20/2012,38.25,7/20/2012,35.045,7/20/2012,43.75,,,,,,,
7/23/2012,68.13,7/23/2012,34.86,7/23/2012,34.98,7/23/2012,14.26,7/23/2012,37.42,7/23/2012,28.48,7/23/2012,37.8,7/23/2012,34.74,7/23/2012,43.11,,,,,,,
7/24/2012,67.04,7/24/2012,34.32,7/24/2012,34.59,7/24/2012,14.215,7/24/2012,37.09,7/24/2012,28.19,7/24/2012,37.38,7/24/2012,34.63,7/24/2012,42.82,,,,,,,
7/25/2012,67.09,7/25/2012,34.32,7/25/2012,34.71,7/25/2012,14.27,7/25/2012,37.07,7/25/2012,28.08,7/25/2012,37.56,7/25/2012,34.64,7/25/2012,42.73,,,,,,,
7/26/2012,69,7/26/2012,34.48,7/26/2012,35.24,7/26/2012,14.485,7/26/2012,37.65,7/26/2012,28.51,7/26/2012,37.92,7/26/2012,35.21,7/26/2012,43.42,,,,,,,
7/27/2012,70.22,7/27/2012,35.11,7/27/2012,36.01,7/27/2012,14.76,7/27/2012,38.09,7/27/2012,29.13,7/27/2012,38.83,7/27/2012,35.61,7/27/2012,44.28,,,,,,,
7/30/2012,70.42,7/30/2012,35.08,7/30/2012,35.91,7/30/2012,14.73,7/30/2012,38.23,7/30/2012,29.14,7/30/2012,38.63,7/30/2012,35.79,7/30/2012,44.11,,,,,,,
7/31/2012,69.65,7/31/2012,34.84,7/31/2012,35.81,7/31/2012,14.66,7/31/2012,37.92,7/31/2012,29.26,7/31/2012,38.39,7/31/2012,35.63,7/31/2012,43.54,,,,,,,
8/1/2012,69.99,8/1/2012,34.85,8/1/2012,35.57,8/1/2012,14.59,8/1/2012,37.63,8/1/2012,29.16,8/1/2012,38.41,8/1/2012,35.45,8/1/2012,43.36,,,,,,,
8/2/2012,68.82,8/2/2012,34.44,8/2/2012,35.39,8/2/2012,14.48,8/2/2012,37.42,8/2/2012,28.97,8/2/2012,38.04,8/2/2012,35.16,8/2/2012,43.47,,,,,,,
8/3/2012,70.44,8/3/2012,35.12,8/3/2012,36.16,8/3/2012,14.82,8/3/2012,37.86,8/3/2012,29.54,8/3/2012,38.49,8/3/2012,35.75,8/3/2012,44.33,,,,,,,
8/6/2012,70.63,8/6/2012,35.44,8/6/2012,36.16,8/6/2012,14.88,8/6/2012,37.77,8/6/2012,29.75,8/6/2012,38.5,8/6/2012,35.73,8/6/2012,44.49,,,,,,,
8/7/2012,71.69,8/7/2012,35.85,8/7/2012,36.53,8/7/2012,14.94,8/7/2012,37.38,8/7/2012,29.95,8/7/2012,38.41,8/7/2012,35.54,8/7/2012,44.91,,,,,,,
8/8/2012,71.75,8/8/2012,35.89,8/8/2012,36.48,8/8/2012,14.94,8/8/2012,37.43,8/8/2012,29.96,8/8/2012,38.55,8/8/2012,35.79,8/8/2012,44.69,,,,,,,
8/9/2012,72.24,8/9/2012,36.09,8/9/2012,36.51,8/9/2012,14.93,8/9/2012,37.43,8/9/2012,30.06,8/9/2012,38.53,8/9/2012,35.64,8/9/2012,44.66,,,,,,,
8/10/2012,72.37,8/10/2012,36.06,8/10/2012,36.68,8/10/2012,14.94,8/10/2012,37.54,8/10/2012,30.13,8/10/2012,38.69,8/10/2012,35.63,8/10/2012,44.62,,,,,,,
8/13/2012,72.1,8/13/2012,35.86,8/13/2012,36.6,8/13/2012,14.95,8/13/2012,37.5,8/13/2012,30.22,8/13/2012,38.59,8/13/2012,35.62,8/13/2012,44.64,,,,,,,
8/14/2012,71.97,8/14/2012,35.7,8/14/2012,36.55,8/14/2012,14.93,8/14/2012,37.46,8/14/2012,30.16,8/14/2012,38.69,8/14/2012,35.76,8/14/2012,44.75,,,,,,,
8/15/2012,71.96,8/15/2012,35.76,8/15/2012,36.63,8/15/2012,14.98,8/15/2012,37.28,8/15/2012,30.17,8/15/2012,38.78,8/15/2012,35.78,8/15/2012,44.89,,,,,,,
8/16/2012,72.6,8/16/2012,36.29,8/16/2012,37,8/16/2012,15.08,8/16/2012,37.19,8/16/2012,30.58,8/16/2012,38.68,8/16/2012,35.87,8/16/2012,45.26,,,,,,,
8/17/2012,72.57,8/17/2012,36.24,8/17/2012,37.18,8/17/2012,15.13,8/17/2012,37.09,8/17/2012,30.75,8/17/2012,38.48,8/17/2012,35.9,8/17/2012,45.43,,,,,,,
8/20/2012,72.32,8/20/2012,36.17,8/20/2012,37.1,8/20/2012,15.17,8/20/2012,37.16,8/20/2012,30.78,8/20/2012,38.56,8/20/2012,35.9,8/20/2012,45.24,,,,,,,
8/21/2012,72.09,8/21/2012,36.22,8/21/2012,37.02,8/21/2012,15.22,8/21/2012,36.89,8/21/2012,30.58,8/21/2012,38.43,8/21/2012,35.68,8/21/2012,45.18,,,,,,,
8/22/2012,72.36,8/22/2012,36.52,8/22/2012,36.84,8/22/2012,15.2,8/22/2012,36.83,8/22/2012,30.63,8/22/2012,38.46,8/22/2012,35.57,8/22/2012,45.31,,,,,,,
8/23/2012,71.555,8/23/2012,35.91,8/23/2012,36.54,8/23/2012,15.05,8/23/2012,36.45,8/23/2012,30.38,8/23/2012,38.41,8/23/2012,35.29,8/23/2012,45,,,,,,,
8/24/2012,71.98,8/24/2012,35.84,8/24/2012,36.71,8/24/2012,15.13,8/24/2012,36.62,8/24/2012,30.57,8/24/2012,38.74,8/24/2012,35.6,8/24/2012,45.37,,,,,,,
8/27/2012,72.01,8/27/2012,35.63,8/27/2012,36.6,8/27/2012,15.12,8/27/2012,36.7,8/27/2012,30.6,8/27/2012,38.78,8/27/2012,35.65,8/27/2012,45.3,,,,,,,
8/28/2012,72.06,8/28/2012,35.55,8/28/2012,36.46,8/28/2012,15.1,8/28/2012,36.63,8/28/2012,30.53,8/28/2012,38.72,8/28/2012,35.67,8/28/2012,45.39,,,,,,,
8/29/2012,71.58,8/29/2012,35.63,8/29/2012,36.45,8/29/2012,15.13,8/29/2012,36.57,8/29/2012,30.59,8/29/2012,38.85,8/29/2012,35.59,8/29/2012,45.61,,,,,,,
8/30/2012,70.82,8/30/2012,35.31,8/30/2012,36.14,8/30/2012,15.05,8/30/2012,36.39,8/30/2012,30.25,8/30/2012,38.72,8/30/2012,35.45,8/30/2012,45.36,,,,,,,
8/31/2012,71.53,8/31/2012,35.65,8/31/2012,36.36,8/31/2012,15.16,8/31/2012,36.35,8/31/2012,30.49,8/31/2012,38.84,8/31/2012,35.46,8/31/2012,45.55,,,,,,,
9/4/2012,70.98,9/4/2012,35.19,9/4/2012,35.98,9/4/2012,15.16,9/4/2012,36.485,9/4/2012,30.49,9/4/2012,38.92,9/4/2012,35.67,9/4/2012,45.44,,,,,,,
9/5/2012,70.71,9/5/2012,35.35,9/5/2012,35.88,9/5/2012,15.16,9/5/2012,36.33,9/5/2012,30.46,9/5/2012,38.93,9/5/2012,35.61,9/5/2012,45.51,,,,,,,
9/6/2012,72.2,9/6/2012,36.235,9/6/2012,36.685,9/6/2012,15.52,9/6/2012,36.74,9/6/2012,31.14,9/6/2012,39.55,9/6/2012,36.05,9/6/2012,46.525,,,,,,,
9/7/2012,73.45,9/7/2012,36.95,9/7/2012,37,9/7/2012,15.68,9/7/2012,36.62,9/7/2012,31.09,9/7/2012,39.53,9/7/2012,35.76,9/7/2012,46.78,,,,,,,
9/10/2012,73.13,9/10/2012,36.89,9/10/2012,36.76,9/10/2012,15.55,9/10/2012,36.58,9/10/2012,30.76,9/10/2012,39.39,9/10/2012,35.72,9/10/2012,46.71,,,,,,,
9/11/2012,73.91,9/11/2012,37.02,9/11/2012,36.96,9/11/2012,15.68,9/11/2012,36.49,9/11/2012,30.84,9/11/2012,39.41,9/11/2012,35.61,9/11/2012,46.69,,,,,,,
9/12/2012,74.36,9/12/2012,36.97,9/12/2012,37.11,9/12/2012,15.74,9/12/2012,36.28,9/12/2012,31.01,9/12/2012,39.43,9/12/2012,35.42,9/12/2012,46.92,,,,,,,
9/13/2012,75.57,9/13/2012,37.88,9/13/2012,37.53,9/13/2012,16.15,9/13/2012,36.79,9/13/2012,31.43,9/13/2012,39.83,9/13/2012,36.05,9/13/2012,47.52,,,,,,,
9/14/2012,76.57,9/14/2012,38.35,9/14/2012,37.76,9/14/2012,16.28,9/14/2012,36.54,9/14/2012,31.58,9/14/2012,39.67,9/14/2012,35.78,9/14/2012,47.71,,,,,,,
9/17/2012,75.99,9/17/2012,37.76,9/17/2012,37.58,9/17/2012,16.13,9/17/2012,36.31,9/17/2012,31.61,9/17/2012,39.9,9/17/2012,35.88,9/17/2012,47.53,,,,,,,
9/18/2012,75.45,9/18/2012,37.66,9/18/2012,37.59,9/18/2012,16.05,9/18/2012,36.2,9/18/2012,31.63,9/18/2012,40.03,9/18/2012,36.08,9/18/2012,47.3,,,,,,,
9/19/2012,74.72,9/19/2012,37.87,9/19/2012,37.68,9/19/2012,16.04,9/19/2012,36.24,9/19/2012,31.66,9/19/2012,40.07,9/19/2012,36.18,9/19/2012,47.79,,,,,,,
9/20/2012,74.9287,9/20/2012,37.81,9/20/2012,37.32,9/20/2012,15.95,9/20/2012,36.39,9/20/2012,31.6,9/20/2012,40.24,9/20/2012,36.38,9/20/2012,47.73,,,,,,,
9/21/2012,74.675,9/21/2012,37.445,9/21/2012,36.975,9/21/2012,15.83,9/21/2012,36.025,9/21/2012,31.51,9/21/2012,40.19,9/21/2012,35.96,9/21/2012,47.53,,,,,,,
9/24/2012,74.3,9/24/2012,37.335,9/24/2012,36.965,9/24/2012,15.835,9/24/2012,36.37,9/24/2012,31.31,9/24/2012,40.3,9/24/2012,36.08,9/24/2012,47.395,,,,,,,
9/25/2012,73.485,9/25/2012,36.74,9/25/2012,36.48,9/25/2012,15.595,9/25/2012,36.29,9/25/2012,30.87,9/25/2012,40.2699,9/25/2012,35.83,9/25/2012,46.84,,,,,,,
9/26/2012,72.79,9/26/2012,36.56,9/26/2012,36.335,9/26/2012,15.495,9/26/2012,36.37,9/26/2012,30.65,9/26/2012,40.065,9/26/2012,35.825,9/26/2012,46.52,,,,,,,
9/27/2012,73.78,9/27/2012,37.01,9/27/2012,36.68,9/27/2012,15.64,9/27/2012,36.225,9/27/2012,31.045,9/27/2012,40.295,9/27/2012,35.95,9/27/2012,46.99,,,,,,,
9/28/2012,73.435,9/28/2012,36.8,9/28/2012,36.53,9/28/2012,15.59,9/28/2012,36.39,9/28/2012,30.825,9/28/2012,40.12,9/28/2012,35.825,9/28/2012,46.79,,,,,,,
10/1/2012,73.8,10/1/2012,36.92,10/1/2012,36.6991,10/1/2012,15.66,10/1/2012,36.22,10/1/2012,30.76,10/1/2012,40.36,10/1/2012,36.06,10/1/2012,46.76,,,,,,,
10/2/2012,73.93,10/2/2012,36.72,10/2/2012,36.64,10/2/2012,15.69,10/2/2012,36.41,10/2/2012,30.8,10/2/2012,40.54,10/2/2012,36.09,10/2/2012,46.67,,,,,,,
10/3/2012,73.02,10/3/2012,36.55,10/3/2012,36.83,10/3/2012,15.83,10/3/2012,36.59,10/3/2012,30.96,10/3/2012,40.88,10/3/2012,36.2,10/3/2012,47.04,,,,,,,
10/4/2012,73.755,10/4/2012,37.02,10/4/2012,37.04,10/4/2012,16.065,10/4/2012,36.8,10/4/2012,31.05,10/4/2012,41.13,10/4/2012,36.37,10/4/2012,47.47,,,,,,,
