,6301 JP Equity,,TPX Index,,.GOVTUSJP Index
1/8/2014,2.821,1/8/2014,1.79,12/18/2013,-2.9768
1/9/2014,-1.9868,1/9/2014,-0.73,12/19/2013,-0.7119
1/10/2014,-0.3861,1/10/2014,0.13,12/20/2013,2.0134
1/14/2014,-1.2597,1/14/2014,-2.26,12/23/2013,-1.7522
1/15/2014,0.6869,1/15/2014,2,12/24/2013,-2.4044
1/16/2014,0.0975,1/16/2014,-0.01,12/25/2013,0.6512
1/17/2014,-0.0974,1/17/2014,0.23,12/26/2013,0.2159
1/20/2014,1.7057,1/20/2014,-0.27,12/27/2013,-0.371
,,,,12/30/2013,2.5177
,,,,12/31/2013,-2.5902
,,,,1/1/2014,0
,,,,1/2/2014,1.7065
,,,,1/3/2014,-0.2556
,,,,1/6/2014,1.1588
,,,,1/7/2014,-0.4693
,,,,1/8/2014,-2.0183
,,,,1/9/2014,0.8375
,,,,1/10/2014,4.7284
,,,,1/13/2014,1.4887
,,,,1/14/2014,-4.1389
,,,,1/15/2014,-0.5122
,,,,1/16/2014,2.728
,,,,1/17/2014,1.0614
,,,,1/20/2014,0
