"","Omega (L = 0%)","Omega (L = 0%)","Omega (L = 0%)","Omega (L = 0%)"
"PRUENHN.KY.Equity",8.65971411090717,2.06330375752782,3.28279521985642,3.28279521985642
"PSAARFL.KY.Equity",1.96686389492101,1.43223196618623,1.9764864158938,1.9764864158938
"PSFZAR1.SJ.Equity",0.697627507325566,2.93368257491676,3.13693038636613,3.13693038636613
"PSLATON.US.Equity",5.72538860103627,2.97386867088608,5.89918972332016,5.89918972332016
"PXPVEEF.KY.Equity",2.29089037667967,1.74642266066647,2.39328991469471,2.39328991469471
"QIEFMLB.MP.Equity",2.3322286987997,1.61479855079329,1.7267446671524,1.7267446671524
"QUACHFA.KY.Equity",11.2255411981876,1.37403650493861,1.92397988703419,1.92397988703419
"QUPANEF.VI.Equity",2.5384402945818,1.39385391334722,1.73993783909247,1.73993783909247
"REALRTA.ID.Equity",1.74043189520632,1.42444745456598,1.73803382796087,1.73803382796087
"REGCADY.KY.Equity",0.368352796278614,0.77393823513029,1.01483401044548,1.01483401044548
"ROCIMAS.KY.Equity",4.28813495852759,1.17620846670255,1.39618707246324,1.39618707246324
"RVCCLSA.KY.Equity",11.7661110156384,2.709068900797,4.77614560236511,4.77614560236511
"RVCUSCA.KY.Equity",11.7686490202819,2.58617420501679,4.64560496660913,4.64560496660913
"SALAOPA.KY.Equity",10.2351833545168,2.30206663683333,2.60062718552014,2.60062718552014
"SCICTFA.KY.Equity",Inf,4.58714987714988,8.5380343980344,8.5380343980344
"SENTCAP.KY.Equity",19.1798118668596,4.77263126872636,5.80001740492559,5.80001740492559
"SENTCRE.KY.Equity",19.1798118668596,4.77263126872636,5.80001740492559,5.80001740492559
"SERICAB.KY.Equity",1.57989218928568,2.13687867317462,2.36601159362016,2.36601159362016
"SMCCNMI.KY.Equity",1.66134288041847,1.91233318939815,1.93602336463809,1.93602336463809
"SPCHOPA.KY.Equity",2.85931811817418,2.04301747575232,2.23811512793187,2.23811512793187
"SPGRCHC.KY.Equity",1.69886619085085,1.5995677739103,1.90120600186605,1.90120600186605
"SQEBLBE.KY.Equity",1.7473490087598,1.0431785743763,1.10366712144261,1.10366712144261
"SQEBLOE.KY.Equity",1.69977426636569,1.03156449766977,1.10473640744753,1.10473640744753
"SVGRCMN.KY.Equity",2.22802813872761,3.3695779212155,2.89251015529056,2.89251015529056
"TANTALF.KY.Equity",5.78675338321346,1.54251553693364,1.57773453054632,1.57773453054632
"TARPLNG.US.Equity",0.679570592062459,0.507485245429682,0.704107968598774,0.704107968598774
"TELLGNT.KY.Equity",2.19636581469649,1.27707692307692,1.60110715264456,1.60110715264456
"TICHVIA.KY.Equity",1.88537319095886,1.07885668569027,1.34791392324492,1.34791392324492
"TK5YRGA.CH.Equity",0.764578100604168,3.78889917967716,2.62374303959596,2.62374303959596
"TKFUNDS.CH.Equity",1.49190609783625,2.18545711986858,2.12125816150954,2.12125816150954
"TKPROST.CH.Equity",3.62201889905505,2.93631413601241,2.41612014839719,2.41612014839719
"TKYJULB.CH.Equity",3.52023992038516,2.33724784969772,2.21909461038487,2.21909461038487
"TKYJULS.CH.Equity",1.93507660298846,5.93707055868834,5.79937804943435,5.79937804943435
"TOCCATA.KY.Equity",1.10512525473778,0.912568720676779,1.33086258495323,1.33086258495323
"TROPHY1.KY.Equity",0.154225603402749,0.487795981779613,0.923185366968346,0.923185366968346
"UGFMSTA.KY.Equity",3.51183316410216,2.56624725963431,2.0251721405474,2.0251721405474
"UGHDSOA.KY.Equity",5.8772662039071,2.458800495132,1.92168033895249,1.92168033895249
"UIFLORG.BM.Equity",3.02119709759482,0.528859386182876,0.512326011722008,0.512326011722008
"VAPAHED.KY.Equity",6.88864332204627,1.67268861053016,1.88069654304897,1.88069654304897
"VERAIUS.ID.Equity",2.10045617592015,1.22961006680131,1.70527956994892,1.70527956994892
"VGBRZEM.KY.Equity",0.967160658655986,0.842644201072544,0.91096358011008,0.91096358011008
"VICTBRZ.KY.Equity",1.07697587524249,0.670643165776623,0.717044729429631,0.717044729429631
"VICTLAT.KY.Equity",0.938753668318537,1.07816780554775,0.863768429102703,0.863768429102703
"VIOLETF.KY.Equity",0.0734782343244398,0.767972839478136,1.30137792721277,1.30137792721277
"VISDYHE.KY.Equity",0.703970777500189,0.980599449227599,1.69317777328831,1.69317777328831
"VISFICH.KY.Equity",2.14790051845388,1.43294409383548,1.68103133290617,1.68103133290617
"VITCHBA.KY.Equity",0.217234479726517,0.951465297951443,1.529075519979,1.529075519979
"WFASREC.KY.Equity",3.70147122250443,2.17085404976353,2.65279525454187,2.65279525454187
"WFASSCF.KY.Equity",3.60936802275024,2.20482553869518,2.86101648419599,2.86101648419599
"WYCAASV.KY.Equity",12.0548482919584,2.06205349403451,2.81792866773994,2.81792866773994
"YECYOSP.KY.Equity",6.41527536689285,1.40829193733282,2.02078256845276,2.02078256845276
"ZEALCHI.KY.Equity",4.12743286102175,2.31129309100735,1.96454955879335,1.96454955879335
"ZENUSOF.KY.Equity",11.5469379105743,2.17852130847722,2.70312362942328,2.70312362942328
