,ann.ret.5,ann.std.5,downrisk.5,drawdown.5,sharpe.5,sortino.5,inforatio.5,alpha.5,beta.5,corr.bhf.5,corr.bidx.5,omega.5,wl.5,skewness.5,kurtosis.5
SENTCAP.KY.Equity,0.067855255,0.02842353,0.027443577,-0.028228,2.211381052,2.290344838,0.701982483,0.004243021,0.169468254,0.631326314,0.588011926,5.802990746,0.833333333,-1.015585978,3.367255794
SERICAB.KY.Equity,0.10283267,0.101147022,0.076825643,-0.105479549,0.967232331,1.273437703,0.280012182,0.004261471,0.57659972,0.581244819,0.56220812,2.441364868,0.733333333,0.439257261,3.296217254
SPCHOPA.KY.Equity,0.243619557,0.23645032,0.199040418,-0.342564505,1.009174176,1.198849758,0.934502694,0.012413152,1.098428179,0.569516245,0.458149849,2.270523715,0.7,-0.78361453,2.241388425
SPGRCHC.KY.Equity,0.120802574,0.164990625,0.100787533,-0.237860319,0.701873662,1.148977173,0.729484875,0.007878418,0.3668767,0.331461103,0.219298999,1.871146793,0.683333333,0.489524253,2.050956516
SQEBLBE.KY.Equity,0.010167544,0.21619164,0.120067703,-0.472583968,0.023902609,0.043038586,-0.024351977,-0.005209994,1.065258527,NA,0.485256537,1.119496328,0.5,0.394046339,0.743219467
SQEBLOE.KY.Equity,0.009160754,0.26567418,0.151717884,-0.517954918,0.015661116,0.027424283,-0.030125758,-0.006316038,1.333172307,NA,0.494188012,1.128484683,0.5,0.264677033,0.266738838
TARPLNG.US.Equity,-0.107242924,0.228434427,0.140051426,-0.637469755,-0.491357303,-0.801440778,-0.338100836,-0.014545038,0.971226784,0.431769362,0.419309673,0.766694394,0.45,-0.145895701,-0.509593783
TELLGNT.KY.Equity,0.092306031,0.139336558,0.106306251,-0.265894588,0.626583807,0.821269023,0.553858237,0.001805324,0.847984798,0.703529803,0.600203851,1.6733886,0.65,-0.711651818,0.727138989
TICHVIA.KY.Equity,0.038416367,0.158790141,0.13107839,-0.299227278,0.210443586,0.254934217,0.399437964,-0.001268188,0.734231708,NA,0.455370478,1.291047547,0.6,-0.803154059,3.245776786
TK5YRGA.CH.Equity,0.035463817,0.02621675,0.020341621,-0.063168692,1.161998202,1.497610107,-0.088256998,0.00294521,-0.001161376,NA,-0.00436264,2.600488704,0.683333333,-0.898928925,1.271645321
